title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Riddick,2013,Action,119,David Twohy,Vin Diesel,98.34,42.03,6.4,6.4,6.5,6.8,6.5,6.4,6.5,162310,117409,13985,22,18484,81204,24321,6.6,6.3,20863,77687
Rush,2013,Action,123,Ron Howard,Daniel Brühl,96.98,26.95,8.1,8.1,8.0,8.0,8.3,8.1,7.8,463048,303287,42859,122,83561,196187,42870,7.9,8.1,39298,205680
Dallas Buyers Club,2013,Biography,117,Jean-Marc Vallée,Matthew McConaughey,55.74,27.3,8.0,7.9,8.1,8.1,8.1,7.9,7.8,472231,280498,75508,128,87557,202434,44502,7.9,7.9,52523,207100
The Internship,2013,Comedy,119,Shawn Levy,Vince Vaughn,93.49,44.67,6.3,6.3,6.5,5.9,6.6,6.2,6.0,200418,126275,32411,29,36146,93902,18640,6.3,6.2,26181,90491
Bad Grandpa,2013,Comedy,92,Jeff Tremaine,Johnny Knoxville,151.83,102.0,6.5,6.5,6.3,6.5,6.6,6.5,6.3,93194,66774,9669,18,17987,45457,8407,6.5,6.4,15401,41988
This Is the End,2013,Comedy,107,Evan Goldberg,James Franco,126.04,101.47,6.6,6.6,6.4,6.6,6.8,6.6,6.2,402021,257941,55259,84,78328,181914,32914,7.0,6.4,63862,166375
Texas Chainsaw 3D,2013,Horror,92,John Luessenhop,Alexandra Daddario,47.34,34.34,4.8,4.8,5.0,4.9,4.7,4.7,5.0,48911,32764,5895,21,8567,22329,5523,4.7,4.7,9869,19541
Kingsman: The Secret Service,2014,Action,129,Matthew Vaughn,Colin Firth,414.35,128.26,7.7,7.6,7.8,8.1,7.9,7.6,7.5,637975,367339,83314,303,122987,234534,57964,7.7,7.6,65462,247954
Interstellar,2014,Adventure,169,Christopher Nolan,Matthew McConaughey,701.73,188.02,8.6,8.6,8.4,8.9,8.9,8.6,8.0,1691025,906653,178054,1129,311577,552321,122559,8.4,8.5,144506,551158
Gone Girl,2014,Drama,149,David Fincher,Ben Affleck,369.33,167.77,8.1,8.1,8.0,8.3,8.3,8.1,7.7,936877,508052,147362,375,179452,351186,75077,8.1,8.0,93618,357709
This Is Where I Leave You,2014,Comedy,103,Shawn Levy,Jason Bateman,41.3,34.29,6.6,6.6,6.8,6.9,6.7,6.6,6.6,77996,41517,20073,8,11315,35464,11525,6.7,6.5,13866,32906
Whiplash,2014,Drama,106,Damien Chazelle,Miles Teller,49.4,13.09,8.5,8.5,8.3,8.8,8.7,8.4,8.1,791997,430517,98857,485,162955,270094,55889,8.6,8.4,73546,293705
Guardians of the Galaxy,2014,Action,121,James Gunn,Chris Pratt,773.35,333.18,8.0,8.0,8.1,8.1,8.1,8.0,8.0,1124549,626660,134188,829,205722,390056,94875,8.3,7.9,130245,377900
The Grand Budapest Hotel,2014,Adventure,99,Wes Anderson,Ralph Fiennes,173.08,59.1,8.1,8.1,8.1,8.6,8.3,8.0,7.8,769600,421097,121500,368,144924,292914,67778,8.1,8.0,76337,310236
